#Columns,8,,,,,,,,
#Header_Rows,11,,,,,,,,
Column_Name,Sample_Name,IGSN,Material,Total_Carbon,Total_Carbon_dateTime,Total_Carbon_UTC_offset,Total_Carbon_DataFlags,Total_Carbon_Notes,
Unit,N/A,N/A,N/A,percent,N/A,N/A,N/A,N/A,
Unit_Basis,N/A,N/A,N/A,as_C,N/A,N/A,N/A,N/A,
MethodID_Storage,N/A,N/A,N/A,Amb_0,N/A,N/A,N/A,N/A,
MethodID_Preservation,N/A,N/A,N/A,Dry_30C,N/A,N/A,N/A,N/A,
MethodID_Preparation,N/A,N/A,N/A,Grind_0,N/A,N/A,N/A,N/A,
MethodID_Analysis,N/A,N/A,N/A,EA_0,N/A,N/A,N/A,N/A,
Analysis_DetectionLimit,-9999,-9999,-9999,0.01,-9999,-9999,-9999,-9999,
Analysis_Precision,-9999,-9999,-9999,0.005,-9999,-9999,-9999,-9999,
MethodID_DataProcessing,N/A,N/A,N/A,Avg_3,N/A,N/A,N/A,N/A,
Data_Status,N/A,N/A,N/A,Final,N/A,N/A,N/A,N/A,
#Start_Data,RV_2017_04_05_1,IERVTS20A,soil,6.97,2017-06-17 14:11,-7,N/A,N/A,
N/A,RV_2017_04_05_2,IERVTS20B,soil,1.98,2017-06-17 14:17,-7,N/A,N/A,
N/A,RV_2017_04_05_3,IERVTS20C,soil,1.36,2017-06-17 14:23,-7,Avg_2,Only duplicate measurements,
N/A,RV_2017_04_05_4,IERVTS20D,soil,0.96,2017-06-17 14:30,-7,N/A,N/A,
N/A,RV_2017_04_05_5,IERVTS20E,soil,1.55,2017-06-17 14:36,-7,N/A,N/A,
N/A,RV_2017_04_05_6,IERVTS20F,soil,0,2017-06-17 14:42,-7,BD,Below detection limit,
N/A,RV_2017_04_05_6,IERVTS20G,soil,-9999,N/A,N/A,"BV, ND","Broken vial, not determined",
#End_Data,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
