#Columns,8,,,,,,,,
#Header_Rows,11,,,,,,,,
Column_Name,Sample_Name,IGSN,Material,Variable_Name,Variable_Name_dateTime,Variable_Name_UTC_offset,Variable_Name_DataFlags,Variable_Name_Notes,[Add columns for additional variables]
Unit,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
Unit_Basis,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
MethodID_Storage,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
MethodID_Preservation,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
MethodID_Preparation,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
MethodID_Analysis,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
Analysis_DetectionLimit,-9999,-9999,-9999,,-9999,-9999,-9999,-9999,
Analysis_Precision,-9999,-9999,-9999,,-9999,-9999,-9999,-9999,
MethodID_DataProcessing,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
Data_Status,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
#Start_Data,,,,,,,,,
N/A,,,,,,,,,
N/A,,,,,,,,,
N/A,,,,,,,,,
N/A,,,,,,,,,
#End_Data,,,,,,,,,
"[Fill N/A in this column for all rows with data, end with #End_Data field in this column and keep rest of that row blank]",,,,,,,,,
